GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JMXProxy,com.github.mk23.jmxproxy.jmx,ConnectionWorker.new Runnable() {...},3,17,0,0,2,5,0,2,0,2
JMXProxy,com.github.mk23.jmxproxy.jmx,ConnectionWorker,278,374,13,25,21,74,11,14,0,6
JMXProxy,com.github.mk23.jmxproxy.jmx,ConnectionManager.new Runnable() {...},5,66,1,3,0,11,1,3,0,2
JMXProxy,com.github.mk23.jmxproxy.jmx,ConnectionManager,21,269,0,12,4,50,1,15,1,9
JMXProxy,com.github.mk23.jmxproxy.jmx,ConnectionCredentials,2,114,3,17,1,26,3,14,0,7
JMXProxy,com.github.mk23.jmxproxy,JMXProxyResource,0,497,0,12,0,39,0,23,0,17
JMXProxy,com.github.mk23.jmxproxy,JMXProxyApplication,9,53,0,0,3,13,1,5,1,5
JMXProxy,com.github.mk23.jmxproxy,JMXProxyHealthCheck,3,12,1,1,1,5,1,2,0,2
JMXProxy,com.github.mk23.jmxproxy.util,History,0,122,0,10,0,19,0,10,0,5
JMXProxy,com.github.mk23.jmxproxy.core,Host,4,96,0,4,2,23,1,10,1,8
JMXProxy,com.github.mk23.jmxproxy.core,MBean.new ThreadLocal() {...},3,6,0,0,1,1,1,1,1,1
JMXProxy,com.github.mk23.jmxproxy.core,Attribute,9,269,0,40,3,67,2,23,2,3
JMXProxy,com.github.mk23.jmxproxy.core,Host.new ThreadLocal() {...},3,6,0,0,1,1,1,1,1,1
JMXProxy,com.github.mk23.jmxproxy.core,MBean,6,130,1,9,3,28,2,13,1,9
JMXProxy,com.github.mk23.jmxproxy.conf,DurationSerializer,0,8,0,0,0,3,0,2,0,2
JMXProxy,com.github.mk23.jmxproxy.conf,AppConfig,0,63,0,0,0,21,0,11,0,11
JMXProxy,com.github.mk23.jmxproxy.conf,MainConfig,0,10,0,0,0,4,0,3,0,3
